Level.code	Main.food.description
6221	Cherries, cooked
623	Plums
6230	Plums, raw
6231	Plums, canned/cooked (plums only)
6232	Plums, dried (prunes)
6233	Plums, dried (prunes), cooked
6234	Juice, prune
624	Nectarines, raw
63	Pome_fruits
630	Apples
6300	Apples, raw
6301	Apples, dried
6302	Juice, apple
6303	Juice, apple, concentrate
6304	Apples, cooked/applesauce
631	Pears
6310	Pears, raw
6311	Pears, asian, raw
6312	Pears, canned (pears only)
6313	Pears, dried
6314	Pears, dried, cooked
6315	Juice, pear
64	Berries
640	Strawberries
6400	Strawberries, canned/cooked (strawberries only)
6401	Strawberries, cooked
641	Blueberries
6410	Blueberries, canned (blueberries only)
6411	Blueberries, cooked
6412	Blueberries, dried, unsweetened
642	Blackberries
6420	Juice, blackberry
6421	Blackberries, cooked
6422	Blackberries, canned/cooked (blackberries only)
643	Raspberries
6430	Raspberries, cooked
6431	Raspberries, canned/cooked (raspberries only)
644	Cranberries
6440	Cranberries, raw
6441	Cranberries, canned/cooked (cranberries only)
6442	Juice, cranberry
645	Other_berries
6450	Boysenberries, raw/frozen
6451	Loganberries, raw/frozen
65	Tropical_fruits
650	Bananas
6500	Bananas, raw
6501	Bananas, dehydrated
651	Pineapple
6510	Pineapple, raw/frozen
6511	Pineapple, raw/frozen/canned (pineapple only)
6512	Juice, pineapple
652	Mango
6520	Mangoes, cooked
6521	Juice, mango
653	Papaya
6530	Papayas, raw
6531	Juice, papaya
655	Other_tropical
6550	Breadfruit, canned/cooked
6551	Carambola (starfruit), raw
6552	Guava, raw
6553	Guava, cooked
6554	Kiwis, raw
6555	Litchis/lychees, canned/cooked (litchis only)
6556	Litchis/lychees, dried
6557	Passion-fruit, (granadilla), purple, raw
6558	Juice, passionfruit
6559	Plantains, raw
6560	Plantains, cooked
66	Melons
660	Melon, cantaloupe, raw
661	Melon, honeydew, raw
662	Watermelon, raw
67	Dried_fruits
670	Raisins
671	Dates
672	Figs, dried
673	Currants, dried
68	Other_fruits
680	Grapes
6800	Grapes, cooked
6801	Juice, grape
681	Pomegranates
6810	Pomegranates, raw
6811	Juice, pomegranate
682	Rhubarb, cooked
683	Persimmons, raw
684	Tamarind, raw
685	Figs
6850	Figs, raw
6851	Figs, canned (figs only)
7	Vegetables
71	White_potatoes
710	Potatoes, raw
711	Potatoes, cooked, peel not eaten or unknown
712	Potatoes, cooked, with peel
713	Potatoes, canned, peel not eaten or unknown
714	Potatoes, dehydrated
715	Flour, potato
72	Dark_green_vegetables
720	Leafy_greens
7200	Spinach
72000	Spinach, raw
72001	Spinach, canned/cooked
72002	Spinach, canned
7201	Kale
72010	Kale, raw
72011	Kale, cooked
7202	Collards
72020	Collards, raw
72021	Collards, cooked
7203	Chard
72030	Chard, Swiss, raw
72031	Chard, Swiss, cooked
7204	Beet_greens
72040	Beet greens, raw
72041	Beet greens, cooked
7205	Mustard_greens
72050	Mustard greens, raw
72051	Mustard greens, cooked
7206	Turnip greens, cooked
7207	Dandelion_greens
72070	Dandelion greens, raw
72071	Dandelion greens, cooked
7208	Other_leafy_greens
72080	Watercress, raw
72081	Arugula, raw
72082	Radicchio, raw
72083	Coriander (cilantro) leaves, raw
72084	Parsley, raw
72085	Lettuce, cos/romaine, raw
72086	Lettuce, iceberg/butterhead, raw
72087	Lettuce, leaf, raw
72088	Cabbage, Chinese, cooked
72089	Balsam-pear (bitter melon/gourd)/horseradish/jute/radish leaves, cooked
721	Broccoli_family
7210	Broccoli
72100	Broccoli, raw
72101	Broccoli, cooked
72102	Broccoli raab, raw
72103	Broccoli raab, cooked
72104	Broccoli, Chinese, cooked
722	Brussels_sprouts
7220	Brussels sprouts, raw
7221	Brussels sprouts, cooked
73	Deep_yellow_vegetables
730	Carrots
7300	Carrots, raw
7301	Carrots, canned/cooked
7302	Juice, carrot
731	Sweet_potatoes
7310	Sweet potatoes, canned/cooked
7311	Sweet potatoes, canned
7312	Sweet potato leaves, cooked
732	Squash, winter, cooked
733	Pumpkin
7330	Pumpkin, canned/cooked
